Local time in Montijo (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
26.11.2017 21:00,"13,7","768,8","770,1","0,6",80,Wind blowing from the north-east,2,,7,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,2",No precipitation,12,,,,
26.11.2017 18:00,"15,5","768,2","769,4","0,0",74,Wind blowing from the north-northeast,5,,,"90 or more, but not 100%",,,,,"17,6","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","20,0","10,9",No precipitation,3,,,,
26.11.2017 15:00,"17,2","768,2","769,5","-1,2",71,Wind blowing from the north,4,,7,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","11,8",No precipitation,3,,,,
26.11.2017 12:00,"14,7","769,4","770,7","0,4",73,Wind blowing from the north-northeast,5,,7,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","9,8",No precipitation,3,,,,
26.11.2017 09:00,"12,4","769,0","770,4","1,6",85,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,0",,,,,,
26.11.2017 06:00,"12,0","767,4","768,7","0,6",98,Wind blowing from the north-east,4,,,"90 or more, but not 100%",Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"12,0",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","8,0","11,7",No precipitation,3,,,,
26.11.2017 03:00,"12,6","766,8","768,1","-0,1",99,Wind blowing from the north-east,4,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,1","12,4",No precipitation,3,,,,
26.11.2017 00:00,"14,1","766,9","768,1","1,1",99,Wind blowing from the north-northeast,3,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,50-100,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1,5","13,9",No precipitation,3,,,,
25.11.2017 21:00,"13,4","765,8","767,2","0,8",98,Wind blowing from the west,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90 or more, but not 100%","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,,"8,0","13,1","0,2",12,,,,
25.11.2017 18:00,"14,6","765,0","766,3","0,4",96,Wind blowing from the north-west,1,,,"90 or more, but not 100%",Mist.,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"16,0","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90 or more, but not 100%","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","8,0","14,0",Trace of precipitation,3,,,,
25.11.2017 15:00,"15,4","764,6","765,9","0,0",92,variable wind direction,1,,,100%.,"Rain, not freezing, continuous, slight at time of observation.",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"6,0","14,1",,,,,,
25.11.2017 12:00,"14,8","764,6","765,9","0,5",87,Wind blowing from the east-southeast,2,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"9,0","12,7",No precipitation,3,,,,
25.11.2017 09:00,"12,9","764,1","765,4","1,4",96,variable wind direction,1,,,100%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"8,0","12,3",,,,,,
25.11.2017 06:00,"12,2","762,7","764,0","0,0",97,Wind blowing from the north,1,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"11,3",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",100-200,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","11,7",No precipitation,3,,,,
25.11.2017 03:00,"12,9","762,7","764,0","-0,1",98,Wind blowing from the north,1,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,6",No precipitation,3,,,,
25.11.2017 00:00,"14,0","762,8","764,1","0,4",99,Wind blowing from the north,3,,,60%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",100-200,Altostratus opacus or Nimbostratus.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","7,0","13,9",No precipitation,3,,,,
24.11.2017 21:00,"12,9","762,4","763,6","0,3",98,Wind blowing from the north,1,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus of a chaotic sky, generally at several levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","12,6",No precipitation,12,,,,
24.11.2017 18:00,"17,5","762,1","763,3","0,3",89,Wind blowing from the south,2,,,"90 or more, but not 100%",,,,,"21,1","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,"20,0","15,7",No precipitation,3,,,,
24.11.2017 15:00,"20,2","761,8","763,0","-0,6",75,Wind blowing from the south,5,,,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","15,7",No precipitation,3,,,,
24.11.2017 12:00,"20,0","762,4","763,7","0,0",79,Wind blowing from the south,5,,10,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","16,3",No precipitation,3,,,,
24.11.2017 09:00,"17,3","762,4","763,7","0,6",96,Wind blowing from the south,4,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","16,7",,,,,,
24.11.2017 06:00,"15,6","761,8","763,0","0,1",98,Wind blowing from the east-southeast,3,,,"90 or more, but not 100%",Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,"15,3",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"12,0","15,3",Trace of precipitation,3,,,,
24.11.2017 03:00,"15,5","761,7","763,0","-0,2",96,Wind blowing from the south-southeast,2,,,50%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","14,9",No precipitation,3,,,,
24.11.2017 00:00,"16,8","761,9","763,1","0,6",93,Wind blowing from the south,2,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","15,7",No precipitation,3,,,,
23.11.2017 21:00,"17,3","761,3","762,6","2,1",89,Wind blowing from the south-southwest,5,8,15,50%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","15,5",19,12,,,,
23.11.2017 18:00,"18,3","759,2","760,4","0,4",90,Wind blowing from the south-southwest,10,,15,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"22,5","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"10,0","16,7",13,3,,,,
23.11.2017 15:00,"17,6","758,8","760,1","-1,2",90,Wind blowing from the south-southeast,9,,17,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"8,0","16,0",6,3,,,,
23.11.2017 12:00,"22,1","760,0","761,2","0,3",59,Wind blowing from the south,10,,15,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,6",No precipitation,3,,,,
23.11.2017 09:00,"19,3","759,7","760,9","1,3",70,Wind blowing from the south,3,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,6",,,,,,
23.11.2017 06:00,"17,3","758,4","759,7","0,4",85,Wind blowing from the south-southeast,5,,10,"90 or more, but not 100%",,,,"17,3",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,8",No precipitation,3,,,,
23.11.2017 03:00,"18,3","758,0","759,3","0,1",80,Wind blowing from the south,5,,10,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,8",No precipitation,3,,,,
23.11.2017 00:00,"19,0","757,9","759,2","0,3",75,Wind blowing from the south-southwest,6,,12,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,5",No precipitation,3,,,,
22.11.2017 21:00,"19,3","757,6","758,8","0,0",68,Wind blowing from the south,7,,11,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,3",No precipitation,12,,,,
22.11.2017 18:00,"18,9","757,6","758,8","0,0",72,Wind blowing from the south,7,,11,"90 or more, but not 100%",,,,,"20,2","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,8",No precipitation,3,,,,
22.11.2017 15:00,"19,8","757,6","758,8","-1,7",65,Wind blowing from the north,2,,5,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","12,9",No precipitation,3,,,,
22.11.2017 12:00,"13,5","759,3","760,6","-0,7",86,Wind blowing from the north,4,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","9,0","11,1",No precipitation,3,,,,
22.11.2017 09:00,"10,1","760,0","761,2","0,2",98,Wind blowing from the east-northeast,3,,,60%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",200-300,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","8,0","9,8",,,,,,
22.11.2017 06:00,"8,2","759,8","761,1","-0,7",98,Wind blowing from the north-northeast,2,,,"10% or less, but not 0",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"7,6",,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","3,0","7,9",No precipitation,3,,,,
22.11.2017 03:00,"10,7","760,5","761,8","-0,9",99,Wind blowing from the east-southeast,2,,,20–30%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","3,0","10,6",No precipitation,3,,,,
22.11.2017 00:00,"9,8","761,4","762,7","-0,7",98,Wind blowing from the east-southeast,2,,,"10% or less, but not 0",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","5,0","9,5",No precipitation,3,,,,
21.11.2017 21:00,"14,2","762,1","763,3","-0,2",95,Wind blowing from the south,3,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","13,4",No precipitation,12,,,,
21.11.2017 18:00,"17,0","762,3","763,6","-0,2",81,Wind blowing from the south-southwest,3,,,"10% or less, but not 0",,,,,"21,3","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,6",No precipitation,3,,,,
21.11.2017 15:00,"20,3","762,5","763,7","-1,8",57,Wind blowing from the south-west,3,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,4",No precipitation,3,,,,
21.11.2017 12:00,"15,0","764,3","765,6","-0,6",61,Wind blowing from the north-northeast,2,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,6",No precipitation,3,,,,
21.11.2017 09:00,"7,9","764,9","766,2","0,6",87,Wind blowing from the north-northeast,1,,,20–30%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","5,9",,,,,,
21.11.2017 06:00,"6,2","764,3","765,7","-0,2",98,Wind blowing from the east-northeast,3,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"5,1",,,,,,,"10,0","5,9",No precipitation,3,,,,
21.11.2017 03:00,"6,3","764,5","765,9","-0,3",97,Wind blowing from the east-northeast,2,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"12,0","5,9",No precipitation,3,,,,
21.11.2017 00:00,"6,0","764,8","766,0","0,1",93,Wind blowing from the east-southeast,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,0",No precipitation,3,,,,
20.11.2017 21:00,"8,9","764,7","766,0","0,3",94,Wind blowing from the east-southeast,1,,,no clouds,,,,,,,,,,,"20,0","8,0",No precipitation,12,,,,
20.11.2017 18:00,"14,1","764,4","765,7","0,2",56,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,"20,4","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,5",No precipitation,3,,,,
20.11.2017 15:00,"19,4","764,2","765,5","-1,7",43,Wind blowing from the north,4,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,6",No precipitation,3,,,,
20.11.2017 12:00,"15,7","765,9","767,1","0,0",58,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"20,0","7,3",No precipitation,3,,,,
20.11.2017 09:00,"10,5","765,9","767,2","0,8",75,Wind blowing from the north-northeast,5,,7,no clouds,,,,,,,,,,,"20,0","6,3",,,,,,
20.11.2017 06:00,"8,4","765,1","766,4","0,6",84,Wind blowing from the north-east,3,,,no clouds,,,,"6,4",,,,,,,"20,0","5,9",No precipitation,3,,,,
20.11.2017 03:00,"9,7","764,5","765,8","-0,3",85,Wind blowing from the north-northeast,4,,5,no clouds,,,,,,,,,,,"20,0","7,2",No precipitation,3,,,,
20.11.2017 00:00,"9,6","764,8","766,1","0,3",86,Wind blowing from the south-southwest,3,,,no clouds,,,,,,,,,,,"20,0","7,4",No precipitation,3,,,,
19.11.2017 21:00,"9,0","764,5","765,7","0,8",94,Wind blowing from the east,2,,,no clouds,,,,,,,,,,,"20,0","8,1",No precipitation,12,,,,
19.11.2017 18:00,"12,0","763,7","765,0","0,2",73,Wind blowing from the north-west,2,,5,no clouds,,,,,"20,4",,,,,,"20,0","7,3",No precipitation,3,,,,
19.11.2017 15:00,"19,6","763,5","764,7","-1,1",44,Wind blowing from the north-northeast,2,,5,no clouds,,,,,,,,,,,"20,0","6,8",No precipitation,3,,,,
19.11.2017 12:00,"15,8","764,6","765,9","0,1",56,Wind blowing from the north-northeast,4,,8,no clouds,,,,,,,,,,,"20,0","6,9",No precipitation,3,,,,
19.11.2017 09:00,"10,9","764,5","765,9","1,2",77,Wind blowing from the north-northeast,4,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"12,0","6,9",,,,,,
19.11.2017 06:00,"8,5","763,3","764,6","0,2",92,Wind blowing from the north-east,3,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"5,2",,,,,,,"10,0","7,3",No precipitation,3,,,,
19.11.2017 03:00,"6,6","763,1","764,4","-0,2",96,Wind blowing from the east,2,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"10,0","6,0",No precipitation,3,,,,
19.11.2017 00:00,"7,6","763,3","764,6","0,3",96,Wind blowing from the east-southeast,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"10,0","7,0",No precipitation,3,,,,
18.11.2017 21:00,"9,6","763,0","764,3","0,5",94,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"20,0","8,7",No precipitation,12,,,,
18.11.2017 18:00,"15,0","762,5","763,8","0,1",73,Wind blowing from the west,3,,,no clouds,,,,,"20,5",,,,,,"20,0","10,1",No precipitation,3,,,,
18.11.2017 15:00,"19,9","762,4","763,6","-1,5",43,Wind blowing from the north-northeast,2,,,no clouds,,,,,,,,,,,"20,0","6,8",No precipitation,3,,,,
18.11.2017 12:00,"15,6","763,9","764,9","0,1",58,Wind blowing from the north-east,2,,6,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"9,0","7,4",No precipitation,3,,,,
18.11.2017 09:00,"8,9","763,8","765,1","0,8",96,Wind blowing from the east-northeast,1,,,"10% or less, but not 0",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","7,0","8,3",,,,,,
18.11.2017 06:00,"5,3","763,0","764,4","-0,1",98,Wind blowing from the east-southeast,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"5,1",,,,,,,"12,0","5,0",No precipitation,3,,,,
