Local time in Ovar (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
10.06.2017 09:00,"20,6","762,2","763,7","0,4",68,Wind blowing from the north-northwest,4,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","14,5",,,,,,
10.06.2017 06:00,"12,6","761,8","763,3","0,2",96,Wind blowing from the north,1,,,"10% or less, but not 0",,,,"12,4",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,9",No precipitation,3,,,,
10.06.2017 03:00,"13,0","761,6","763,1","-0,8",91,Wind blowing from the north,1,,,20–30%.,"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","8,0","11,6",No precipitation,3,,,,
10.06.2017 00:00,"15,2","762,4","764,0","0,0",92,Wind blowing from the north,1,,,20–30%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","8,0","13,9",No precipitation,3,,,,
09.06.2017 21:00,"16,8","762,4","763,9","0,2",86,Wind blowing from the north-northwest,2,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","14,5",No precipitation,12,,,,
09.06.2017 18:00,"20,0","762,2","763,7","-0,3",69,Wind blowing from the north-west,4,,,50%.,,,,,"21,2","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","14,2",No precipitation,3,,,,
09.06.2017 15:00,"20,6","762,5","764,0","0,1",73,Wind blowing from the north-northwest,5,,,50%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","15,6",No precipitation,3,,,,
09.06.2017 12:00,"20,4","762,4","763,9","0,5",78,Wind blowing from the north-west,4,,,50%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,Less than 50,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","16,4",No precipitation,3,,,,
09.06.2017 09:00,"19,2","761,9","763,4","1,2",84,Wind blowing from the north-west,3,,,60%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","16,4",,,,,,
09.06.2017 06:00,"17,2","760,7","762,2","0,1",92,Wind blowing from the west,2,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"16,4",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",300-600,,,"9,0","15,9",No precipitation,3,,,,
09.06.2017 03:00,"17,2","760,6","762,1","-0,3",92,Wind blowing from the north,2,,,100%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"10,0","15,9",No precipitation,3,,,,
09.06.2017 00:00,"17,4","760,9","762,4","0,1",94,Wind blowing from the north,2,,,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"10,0","16,5",No precipitation,3,,,,
08.06.2017 21:00,"17,0","760,8","762,3","0,8",92,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","15,7",No precipitation,12,,,,
08.06.2017 18:00,"18,2","760,0","761,5","0,3",85,Wind blowing from the north-northwest,4,,,"90 or more, but not 100%",,,,,"19,4","Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,300-600,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","15,7",No precipitation,3,,,,
08.06.2017 15:00,"19,0","759,7","761,2","-0,3",77,Wind blowing from the north-northwest,4,,10,100%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","14,8",No precipitation,3,,,,
08.06.2017 12:00,"19,0","760,0","761,5","0,4",75,Wind blowing from the north,6,9,12,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","14,5",No precipitation,3,,,,
08.06.2017 09:00,"17,4","759,6","761,1","1,1",78,Wind blowing from the north-west,4,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","10,0","13,4",,,,,,
08.06.2017 06:00,"13,4","758,5","760,1","-0,6",91,Wind blowing from the north,1,,,50%.,,,,"13,0",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","12,0",No precipitation,3,,,,
08.06.2017 03:00,"14,2","759,1","760,7","-1,0",86,Wind blowing from the north-northwest,3,,,no clouds,,,,,,,,,,,"10,0","11,8",No precipitation,3,,,,
08.06.2017 00:00,"15,0","760,1","761,6","-0,5",80,Wind blowing from the north,4,8,8,no clouds,,,,,,,,,,,"10,0","11,5",No precipitation,3,,,,
07.06.2017 21:00,"15,6","760,6","762,1","0,0",80,Wind blowing from the north,4,,10,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,2",No precipitation,12,,,,
07.06.2017 18:00,"19,8","760,6","762,1","-1,2",57,Wind blowing from the north,7,,,no clouds,,,,,"22,4",,,,,,"10,0","10,9",No precipitation,3,,,,
07.06.2017 15:00,"21,0","761,8","763,3","-1,0",55,Wind blowing from the north,7,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,6",No precipitation,3,,,,
07.06.2017 12:00,"21,2","762,8","764,3","-0,5",60,Wind blowing from the north-northwest,5,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,0",No precipitation,3,,,,
07.06.2017 09:00,"18,8","763,3","764,8","0,1",73,Wind blowing from the west-northwest,2,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,9",,,,,,
07.06.2017 06:00,"10,2","763,2","764,8","-0,4",95,Wind blowing from the north,1,,,no clouds,"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"10,0",,,,,,,"10,0","9,5",No precipitation,3,,,,
07.06.2017 03:00,"12,0","763,6","765,1","-0,1",93,Wind blowing from the north,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"8,0","10,9",No precipitation,3,,,,
07.06.2017 00:00,"14,0","763,7","765,2","0,1",90,Wind blowing from the north,2,,,no clouds,,,,,,,,,,,"10,0","12,3",No precipitation,3,,,,
06.06.2017 21:00,"15,3","763,6","765,1","0,3",75,Wind blowing from the north,6,10,13,no clouds,,,,,,,,,,,"10,0","10,9",No precipitation,12,,,,
06.06.2017 18:00,"17,2","763,3","764,8","-0,1",67,Wind blowing from the north,8,14,14,no clouds,,,,,"19,6",,,,,,"10,0","11,0",No precipitation,3,,,,
06.06.2017 15:00,"19,0","763,4","764,9","-0,2",62,Wind blowing from the north,9,14,15,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,5",No precipitation,3,,,,
06.06.2017 12:00,"19,0","763,6","765,1","0,3",68,Wind blowing from the north-northwest,6,9,10,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,0",No precipitation,3,,,,
06.06.2017 09:00,"17,6","763,3","764,8","1,2",81,Wind blowing from the north-northwest,5,,,50%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,3",,,,,,
06.06.2017 06:00,"16,0","762,1","763,6","0,8",94,Wind blowing from the north,2,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"15,8",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,0",No precipitation,3,,,,
06.06.2017 03:00,"16,2","761,3","762,8","-0,6",96,Wind blowing from the north,1,,,100%.,Clouds generally forming or developing.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,100-200,,,"10,0","15,6","0,6",3,,,,
06.06.2017 00:00,"17,0","761,9","763,4","-0,3",98,Wind blowing from the west-southwest,4,8,8,100%.,Clouds generally forming or developing.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,100-200,,,"10,0","16,7",Trace of precipitation,3,,,,
05.06.2017 21:00,"17,2","762,2","763,7","-0,5",94,Wind blowing from the south-west,2,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation.",Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,100-200,,,"6,0","16,3",,,,,,
05.06.2017 18:00,"18,8","762,7","764,2","-0,8",79,Wind blowing from the south-west,4,,,"90 or more, but not 100%",,,,,"20,8","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"10,0","15,0",No precipitation,3,,,,
05.06.2017 15:00,"20,0","763,5","765,0","-0,8",66,Wind blowing from the north,4,,,60%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","13,5",No precipitation,3,,,,
05.06.2017 12:00,"19,6","764,3","765,8","-0,1",64,Wind blowing from the west-northwest,3,,,40%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,6",No precipitation,3,,,,
05.06.2017 09:00,"18,0","764,4","765,9","0,1",68,Wind blowing from the north,4,,,50%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","11,9",,,,,,
05.06.2017 06:00,"9,2","764,3","765,9","0,1",95,Wind blowing from the north,1,,,40%.,,,,"9,0",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","8,4",No precipitation,3,,,,
05.06.2017 03:00,"11,0","764,2","765,7","-0,3",93,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,9",No precipitation,3,,,,
05.06.2017 00:00,"14,8","764,5","766,0","-0,2",88,Wind blowing from the north,5,8,10,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,8",No precipitation,3,,,,
04.06.2017 21:00,"15,0","764,7","766,2","0,9",86,Wind blowing from the north,5,8,12,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,6",No precipitation,12,,,,
04.06.2017 18:00,"17,4","763,8","765,3","0,2",78,Wind blowing from the north-northwest,6,9,12,"10% or less, but not 0",,,,,"19,4","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,4",No precipitation,3,,,,
04.06.2017 15:00,"19,4","763,6","765,2","-0,2",67,Wind blowing from the north,8,12,14,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,1",No precipitation,3,,,,
04.06.2017 12:00,"18,6","763,8","765,3","0,2",65,Wind blowing from the north,9,14,14,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,8",No precipitation,3,,,,
04.06.2017 09:00,"17,0","763,6","765,1","0,4",65,Wind blowing from the north-northwest,7,11,11,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","10,3",,,,,,
04.06.2017 06:00,"13,8","763,2","764,8","0,1",79,Wind blowing from the north,3,,10,40%.,,,,"13,6",,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","10,2",No precipitation,3,,,,
04.06.2017 03:00,"14,0","763,1","764,7","-0,4",86,Wind blowing from the north,5,,11,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","11,6",No precipitation,3,,,,
04.06.2017 00:00,"14,8","763,5","765,0","-0,1",82,Wind blowing from the north,7,,13,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,7",No precipitation,3,,,,
03.06.2017 21:00,"15,6","763,6","765,1","0,6",80,Wind blowing from the north,7,,13,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,2",No precipitation,12,,,,
03.06.2017 18:00,"17,0","763,0","764,5","-0,2",74,Wind blowing from the north,8,,13,"90 or more, but not 100%",,,,,"19,4","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","12,3",No precipitation,3,,,,
03.06.2017 15:00,"18,2","763,2","764,7","-0,7",66,Wind blowing from the north-northwest,9,,14,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","11,8",No precipitation,3,,,,
03.06.2017 12:00,"18,8","763,9","765,4","0,3",62,Wind blowing from the north-northwest,9,15,15,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","11,3",No precipitation,3,,,,
03.06.2017 09:00,"17,0","763,6","765,1","0,8",75,Wind blowing from the north-northwest,8,,12,20–30%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","12,6",,,,,,
03.06.2017 06:00,"15,2","762,8","764,3","0,5",88,Wind blowing from the north-northwest,6,,12,"90 or more, but not 100%",,,,"15,2",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",200-300,,,"10,0","13,2",No precipitation,3,,,,
03.06.2017 03:00,"15,8","762,3","763,8","-0,4",88,Wind blowing from the north-northwest,6,9,11,100%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"10,0","13,8",No precipitation,3,,,,
03.06.2017 00:00,"16,2","762,7","764,2","-0,3",88,Wind blowing from the north,5,10,10,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"10,0","14,2",No precipitation,3,,,,
02.06.2017 21:00,"16,8","763,0","764,6","0,6",86,Wind blowing from the north-northwest,6,9,11,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,100-200,Altocumulus translucidus at a single level.,,"10,0","14,5",No precipitation,12,,,,
02.06.2017 18:00,"17,8","762,4","763,9","-0,2",87,Wind blowing from the north,6,11,11,"90 or more, but not 100%",,,,,"20,8","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",200-300,,,"10,0","15,6",No precipitation,3,,,,
02.06.2017 15:00,"19,8","762,6","764,1","-0,3",77,Wind blowing from the north-northwest,6,10,12,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,200-300,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","15,7",No precipitation,3,,,,
02.06.2017 12:00,"19,6","762,9","764,5","-0,1",74,Wind blowing from the north-northwest,6,9,9,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","14,8",No precipitation,3,,,,
02.06.2017 09:00,"17,2","763,0","764,5","0,9",85,Wind blowing from the north,3,,,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"10,0","14,6",,,,,,
02.06.2017 06:00,"16,0","762,1","763,6","-0,4",86,Wind blowing from the north-northeast,2,,,"90 or more, but not 100%",,,,"15,0",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"10,0","13,7",No precipitation,3,,,,
02.06.2017 03:00,"16,4","762,5","764,0","-0,3",90,Wind blowing from the north-northwest,2,,,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"10,0","14,8",No precipitation,3,,,,
02.06.2017 00:00,"15,6","762,8","764,4","-0,1",92,Wind blowing from the north,1,,,50%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","7,0","14,3",No precipitation,3,,,,
01.06.2017 21:00,"15,8","762,9","764,4","0,5",90,Wind blowing from the north,2,,,20–30%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","14,2",No precipitation,12,,,,
01.06.2017 18:00,"18,8","762,4","764,0","-0,6",79,Wind blowing from the north,6,9,10,40%.,,,,,"19,8","Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","15,0",No precipitation,3,,,,
01.06.2017 15:00,"19,0","763,0","764,5","0,1",77,Wind blowing from the north-northwest,5,9,9,100%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,200-300,,,"10,0","14,8",No precipitation,3,,,,
01.06.2017 12:00,"19,2","762,9","764,4","-0,1",79,Wind blowing from the west-northwest,3,,,40%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,4",No precipitation,3,,,,
01.06.2017 09:00,"16,2","763,0","764,6","0,6",90,Wind blowing from the north-west,2,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,"8,0","14,6",,,,,,
01.06.2017 06:00,"16,6","762,4","763,9","-0,7",85,Wind blowing from the north,3,,,100%.,,,,"16,2",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,"10,0","14,0",No precipitation,3,,,,
01.06.2017 03:00,"17,0","763,1","764,7","0,0",86,Wind blowing from the north-northwest,3,,,100%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"10,0","14,7",No precipitation,3,,,,
01.06.2017 00:00,"17,0","763,1","764,7","0,4",86,Wind blowing from the north-northwest,3,,,100%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"10,0","14,7",No precipitation,3,,,,
31.05.2017 21:00,"16,8","762,7","764,2","0,9",90,Wind blowing from the north-northwest,3,,10,50%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","7,0","15,2",No precipitation,12,,,,
31.05.2017 18:00,"18,8","761,8","763,3","-0,3",84,Wind blowing from the north-northwest,7,,12,50%.,,,,,"21,2","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,0",No precipitation,3,,,,
31.05.2017 15:00,"19,4","762,1","763,6","-0,1",80,Wind blowing from the north,7,,11,60%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,9",No precipitation,3,,,,
