Local time in Beja (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.12.2017 06:00,"13,6","746,2","763,7","-1,2",100,Wind blowing from the west,5,,,100%.,Mist.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"13,1",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,100-200,,,"10,0","13,6","0,7",3,,,,
15.12.2017 03:00,"13,7","747,4","764,9","-1,2",99,Wind blowing from the west,6,,,100%.,Mist.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,50-100,,,"7,0","13,6","0,4",3,,,,
15.12.2017 00:00,"13,7","748,6","766,0","-0,9",99,Wind blowing from the west,5,,,100%.,Mist.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,50-100,,,"7,0","13,6",Trace of precipitation,3,,,,
14.12.2017 21:00,"13,4","749,5","767,1","-0,4",97,Wind blowing from the west,5,,,"90 or more, but not 100%",Mist.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",100-200,,,"8,0","12,9",2,12,,,,
14.12.2017 18:00,"13,1","749,9","767,5","-0,2",98,Wind blowing from the west,4,,9,70 – 80%.,Clouds generally dissolving or becoming less developed.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"15,2","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,100-200,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","12,8","0,4",3,,,,
14.12.2017 15:00,"14,7","750,1","767,5","-2,0",95,Wind blowing from the west,5,,,100%.,"Drizzle, not freezing, continuous, moderate at time of observation.",Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"3,8","13,9",,,,,,
14.12.2017 12:00,"13,7","752,1","769,6","-0,6",98,Wind blowing from the west-southwest,4,,,"90 or more, but not 100%",Mist.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",50-100,,,"5,0","13,4","0,3",3,,,,
14.12.2017 09:00,"10,7","752,7","770,5","0,1",99,Wind blowing from the south-southwest,3,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation.",Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"3,0","10,6",,,,,,
14.12.2017 06:00,"10,1","752,6","770,5","-0,8",89,Wind blowing from the south-west,3,,,"90 or more, but not 100%",,,,"8,3",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",200-300,,,"20,0","8,4",No precipitation,3,,,,
14.12.2017 03:00,"9,7","753,4","771,3","-0,7",90,Wind blowing from the south-southwest,2,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","8,2",No precipitation,3,,,,
14.12.2017 00:00,"9,9","754,1","772,0","-0,2",79,Wind blowing from the north-west,2,,,50%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","6,3",No precipitation,3,,,,
13.12.2017 21:00,"8,9","754,3","772,2","0,4",75,Wind blowing from the west-northwest,1,,,50%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","4,7",No precipitation,12,,,,
13.12.2017 18:00,"11,6","753,9","771,7","0,2",66,Wind blowing from the north-northwest,2,,,50%.,,,,,"15,9",Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,3",No precipitation,3,,,,
13.12.2017 15:00,"15,6","753,7","771,2","-1,2",38,Wind blowing from the south-southwest,2,,,20–30%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","1,4",No precipitation,3,,,,
13.12.2017 12:00,"12,2","754,9","772,6","0,3",60,Wind blowing from the south-east,3,,,"10% or less, but not 0",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","4,5",No precipitation,3,,,,
13.12.2017 09:00,"5,1","754,6","772,7","1,4",92,variable wind direction,1,,,"10% or less, but not 0",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","3,9",,,,,,
13.12.2017 06:00,"3,3","753,2","771,5","0,3",97,Wind blowing from the east-southeast,2,,,no clouds,,,,"2,5",,,,,,,"20,0","2,9",No precipitation,3,,,,
13.12.2017 03:00,"4,0","752,9","771,1","0,4",90,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"20,0","2,5",No precipitation,3,,,,
13.12.2017 00:00,"4,8","752,5","770,6","1,2",86,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"20,0","2,7",No precipitation,3,,,,
12.12.2017 21:00,"7,6","751,3","769,3","1,3",71,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,7",No precipitation,12,,,,
12.12.2017 18:00,"8,8","750,0","767,8","1,4",61,Wind blowing from the north-northeast,2,,,"10% or less, but not 0",,,,,"13,0","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","1,7",No precipitation,3,,,,
12.12.2017 15:00,"12,9","748,6","766,1","0,0",39,Wind blowing from the north,5,7,8,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","-0,7",No precipitation,3,,,,
12.12.2017 12:00,"11,6","748,6","766,3","1,1",47,Wind blowing from the north-northeast,4,,7,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","0,7",No precipitation,3,,,,
12.12.2017 09:00,"6,0","747,5","765,4","2,0",73,Wind blowing from the north-northwest,4,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","1,4",,,,,,
12.12.2017 06:00,"3,3","745,5","763,6","1,7",88,Wind blowing from the north-west,2,,,no clouds,,,,"3,2",,,,,,,"20,0","1,4",No precipitation,3,,,,
12.12.2017 03:00,"5,5","743,8","761,7","1,2",82,Wind blowing from the north-west,6,,,no clouds,,,,,,,,,,,"20,0","2,6",No precipitation,3,,,,
12.12.2017 00:00,"5,9","742,6","760,5","2,2",79,Wind blowing from the north-northwest,5,,,no clouds,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"8,0","2,5",No precipitation,3,,,,
11.12.2017 21:00,"7,0","740,4","758,1","2,3",81,Wind blowing from the north-west,4,,9,no clouds,,,,,,,,,,,"20,0","4,0",No precipitation,12,,,,
11.12.2017 18:00,"8,6","738,1","755,6","2,1",83,Wind blowing from the west-northwest,5,,15,40%.,Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,"13,7","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","5,9",No precipitation,3,,,,
11.12.2017 15:00,"13,0","736,0","753,2","-0,4",62,Wind blowing from the north-west,11,,,60%.,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","5,9",Trace of precipitation,3,,,,
11.12.2017 12:00,"12,4","736,4","753,7","0,4",65,Wind blowing from the west-northwest,7,,11,40%.,Clouds generally forming or developing.,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","6,0",No precipitation,3,,,,
11.12.2017 09:00,"9,3","736,0","753,4","1,8",85,Wind blowing from the west,6,,,50%.,"Rain shower(s), slight.",Shower(s).,Rain.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","6,9",,,,,,
11.12.2017 06:00,"8,4","734,2","751,6","1,0",92,Wind blowing from the west,7,,,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Drizzle.,"8,4",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,300-600,Altostratus opacus or Nimbostratus.,,"20,0","7,2",9,3,,,,
11.12.2017 03:00,"11,5","733,2","750,4","-2,3",96,Wind blowing from the west-northwest,8,,,100%.,"Rain, not freezing, intermittent, moderate at time of observation.",Rain.,Drizzle.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",200-300,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"6,0","10,9",16,3,,,,
11.12.2017 00:00,"14,5","735,5","752,7","-4,4",93,Wind blowing from the south-west,12,,,100%.,"Drizzle and rain, moderate or heavy.",Shower(s).,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",200-300,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"6,0","13,4",4,3,,,,
10.12.2017 21:00,"14,8","739,9","757,1","-3,1",92,Wind blowing from the west,9,,,100%.,"Rain, not freezing, continuous, slight at time of observation.",Shower(s).,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"10,0","13,5",20,12,,,,
10.12.2017 18:00,"14,5","743,0","760,3","-2,4",85,Wind blowing from the west-southwest,9,,,100%.,"Rain shower(s), slight.",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"16,9","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",300-600,Altostratus opacus or Nimbostratus.,,"20,0","12,0",No precipitation,3,,,,
10.12.2017 15:00,"16,3","745,4","762,7","-3,6",72,Wind blowing from the west-southwest,8,,13,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,Altostratus opacus or Nimbostratus.,,"20,0","11,3",No precipitation,3,,,,
10.12.2017 12:00,"16,1","749,0","766,3","-1,5",78,Wind blowing from the west-southwest,8,,13,"90 or more, but not 100%",State of sky on the whole unchanged.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,300-600,Altostratus opacus or Nimbostratus.,,"20,0","12,3",No precipitation,3,,,,
10.12.2017 09:00,"11,8","750,5","768,1","-0,5",100,Wind blowing from the south-southwest,4,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",200-300,,,"15,0","11,8",,,,,,
10.12.2017 06:00,"11,8","751,0","768,7","-1,5",100,Wind blowing from the south-west,3,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"11,4",,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","11,8",No precipitation,3,,,,
10.12.2017 03:00,"12,3","752,5","770,2","-1,2",100,Wind blowing from the west-southwest,4,,,"90 or more, but not 100%","Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus cumulogenitus.,"90 or more, but not 100%",100-200,,,"0,2","12,3",No precipitation,3,,,,
10.12.2017 00:00,"12,9","753,7","771,4","-0,3",100,Wind blowing from the west,4,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,1","12,9",No precipitation,3,,,,
09.12.2017 21:00,"13,1","754,0","771,6","0,7",99,Wind blowing from the west,4,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus cumulogenitus.,"90 or more, but not 100%",50-100,,,"4,0","12,9",No precipitation,12,,,,
09.12.2017 18:00,"15,7","753,3","770,8","0,2",77,Wind blowing from the west,3,,,70 – 80%.,,,,,"18,0","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,7",No precipitation,3,,,,
09.12.2017 15:00,"17,3","753,1","770,5","-1,6",70,Wind blowing from the west-northwest,6,,9,60%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,8",No precipitation,3,,,,
09.12.2017 12:00,"15,3","754,7","772,3","0,1",87,Wind blowing from the west-northwest,5,,,70 – 80%.,Clouds generally dissolving or becoming less developed.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus cumulogenitus.,60%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","13,2",No precipitation,3,,,,
09.12.2017 09:00,"13,0","754,6","772,3","0,7",100,Wind blowing from the north-west,7,,10,100%.,Fog or ice fog in patches.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,"0,4","13,0",,,,,,
09.12.2017 06:00,"12,9","753,9","771,6","-0,7",100,Wind blowing from the north-west,6,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,"11,9",,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","12,9",No precipitation,3,,,,
09.12.2017 03:00,"12,6","754,6","772,3","-0,5",100,Wind blowing from the west-northwest,4,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,1","12,6",No precipitation,3,,,,
09.12.2017 00:00,"12,1","755,1","772,9","0,0",100,Wind blowing from the west-northwest,4,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","12,1",No precipitation,3,,,,
08.12.2017 21:00,"12,3","755,1","772,8","0,3",99,Wind blowing from the north-west,3,,,"90 or more, but not 100%","Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"0,8","12,2",No precipitation,12,,,,
08.12.2017 18:00,"12,9","754,8","772,5","0,2",92,Wind blowing from the west-northwest,2,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,"15,8","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",200-300,,,"9,0","11,6",No precipitation,3,,,,
08.12.2017 15:00,"15,0","754,6","772,2","-1,2",73,Wind blowing from the north-west,4,,,100%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,600-1000,,,"20,0","10,1",No precipitation,3,,,,
08.12.2017 12:00,"14,6","755,8","773,5","-0,3",48,Wind blowing from the west,2,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","3,5",No precipitation,3,,,,
08.12.2017 09:00,"7,5","756,1","774,1","0,6",81,"Calm, no wind",0,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","4,5",,,,,,
08.12.2017 06:00,"3,5","755,5","773,8","-0,2",100,Wind blowing from the south-west,1,,,50%.,,,,"3,2",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","3,5",No precipitation,3,,,,
08.12.2017 03:00,"4,1","755,7","774,0","-0,3",88,Wind blowing from the north,1,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,3",No precipitation,3,,,,
08.12.2017 00:00,"6,8","756,0","774,0","-0,1",76,Wind blowing from the north,1,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.","Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","2,9",No precipitation,3,,,,
07.12.2017 21:00,"8,7","756,1","774,1","0,4",66,Wind blowing from the north-west,2,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,7",No precipitation,12,,,,
07.12.2017 18:00,"11,2","755,7","773,5","0,3",59,Wind blowing from the west-northwest,3,,,20–30%.,,,,,"15,7","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","3,5",No precipitation,3,,,,
07.12.2017 15:00,"15,4","755,4","772,9","-1,2",46,Wind blowing from the north-northwest,2,,,20–30%.,"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","3,9",No precipitation,3,,,,
07.12.2017 12:00,"12,6","756,6","774,4","0,2",63,Wind blowing from the north,1,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,6",No precipitation,3,,,,
07.12.2017 09:00,"5,8","756,4","774,7","0,6",86,Wind blowing from the east-southeast,3,,,40%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","3,6",,,,,,
07.12.2017 06:00,"4,0","755,8","774,1","0,0",89,Wind blowing from the east-southeast,2,,,50%.,,,,"3,3",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,4",No precipitation,3,,,,
07.12.2017 03:00,"3,9","755,8","774,1","-0,8",79,Wind blowing from the south-southeast,2,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","0,6",No precipitation,3,,,,
07.12.2017 00:00,"5,9","756,6","774,7","0,2",74,Wind blowing from the north,1,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","1,6",No precipitation,3,,,,
06.12.2017 21:00,"7,4","756,4","774,5","0,3",69,Wind blowing from the north,1,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","2,1",No precipitation,12,,,,
06.12.2017 18:00,"10,0","756,1","774,0","0,1",55,"Calm, no wind",0,,,20–30%.,,,,,"15,1","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","1,2",No precipitation,3,,,,
06.12.2017 15:00,"14,5","756,0","773,6","-1,2",43,Wind blowing from the north-east,2,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,1",No precipitation,3,,,,
06.12.2017 12:00,"11,8","757,2","775,0","-0,4",62,Wind blowing from the east-southeast,2,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","4,6",No precipitation,3,,,,
06.12.2017 09:00,"4,3","757,6","775,9","0,6",86,Wind blowing from the east-southeast,4,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","2,2",,,,,,
