Local time in Alverca (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.02.2018 12:00,"10,2","768,3","768,7","-0,3",97,Wind blowing from the east-northeast,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","9,8",No precipitation,3,,,,
16.02.2018 09:00,"7,4","768,6","769,0",,100,Wind blowing from the north,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","7,4",,,,,,
15.02.2018 15:00,"15,5","768,8","769,2","-1,2",81,Wind blowing from the south-southwest,3,,,100%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.",,"15,0","12,3",No precipitation,3,,,,
15.02.2018 12:00,"12,8","770,0","770,3","1,0",96,Wind blowing from the north,2,,,100%.,Mist.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,100-200,,,"7,0","12,1",Trace of precipitation,3,,,,
15.02.2018 09:00,"11,3","769,0","769,3",,96,Wind blowing from the south,4,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation.",,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,100-200,,,"6,0","10,6",,,,,,
14.02.2018 15:00,"16,5","766,6","766,9","-0,6",66,Wind blowing from the west-southwest,5,,,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,1",No precipitation,3,,,,
14.02.2018 12:00,"15,7","767,2","767,5",,70,Wind blowing from the south-west,3,,,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","10,3",No precipitation,3,,,,
12.02.2018 15:00,"14,6","768,2","768,5","-1,1",45,Wind blowing from the north,4,,,40%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,8",No precipitation,3,,,,
12.02.2018 12:00,"13,6","769,3","770,1","0,9",45,Wind blowing from the north,6,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","1,9",No precipitation,3,,,,
12.02.2018 09:00,"11,0","768,4","768,7",,55,Wind blowing from the north-northwest,1,,,40%.,Cloud development not observed or not observable.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,1500-2000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","2,1",,,,,,
09.02.2018 15:00,"10,4","766,9","767,2","-0,6",89,Wind blowing from the east-northeast,3,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","4,0","8,6",No precipitation,3,,,,
09.02.2018 12:00,"8,0","767,5","767,8","1,0",95,Wind blowing from the east-northeast,4,,,100%.,Mist.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","3,5","7,2",No precipitation,3,,,,
09.02.2018 09:00,"6,6","766,5","766,8",,95,Wind blowing from the east,2,,,100%.,Mist.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,100-200,,,"3,5","5,8",,,,,,
08.02.2018 15:00,"12,5","766,3","766,7","-1,4",31,Wind blowing from the north,5,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","15,0","-4,1",No precipitation,3,,,,
08.02.2018 12:00,"9,8","767,7","768,1","0,2",44,Wind blowing from the east-northeast,4,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","15,0","-2,0",No precipitation,3,,,,
08.02.2018 09:00,"4,6","767,5","767,8",,74,Wind blowing from the east-northeast,3,,,20–30%.,Cloud development not observed or not observable.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","0,4",,,,,,
07.02.2018 15:00,"12,8","762,6","762,9","-1,3",37,Wind blowing from the north,5,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","-1,7",No precipitation,3,,,,
07.02.2018 12:00,"10,8","763,9","764,2","0,6",46,Wind blowing from the north-east,6,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","-0,4",No precipitation,3,,,,
07.02.2018 09:00,"7,3","763,3","763,7",,52,Wind blowing from the north-northeast,4,,,20–30%.,Cloud development not observed or not observable.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","-2,1",,,,,,
06.02.2018 15:00,"11,5","761,3","761,7","-1,3",33,Wind blowing from the north,7,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","-4,3",No precipitation,3,,,,
06.02.2018 12:00,"10,4","762,6","763,0","0,9",35,Wind blowing from the north,7,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","-4,4",No precipitation,3,,,,
06.02.2018 09:00,"6,8","761,7","762,1",,52,Wind blowing from the north,6,,,no clouds,Cloud development not observed or not observable.,,,,,,,,,,"20,0","-2,5",,,,,,
05.02.2018 15:00,"12,7","756,8","757,1","-1,2",44,Wind blowing from the north,7,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","0,7",No precipitation,3,,,,
05.02.2018 12:00,"11,6","758,0","758,4","0,1",55,Wind blowing from the north,5,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,7",No precipitation,3,,,,
05.02.2018 09:00,"8,7","757,9","758,3",,58,Wind blowing from the north,5,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","0,7",,,,,,
02.02.2018 15:00,"13,0","763,8","764,1","-1,0",43,Wind blowing from the north,9,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","0,5",No precipitation,3,,,,
02.02.2018 12:00,"12,2","764,8","765,1","0,9",53,Wind blowing from the north,7,,,20–30%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","2,7",No precipitation,3,,,,
02.02.2018 09:00,"9,4","763,9","764,2",,59,Wind blowing from the north,8,,,no clouds,,,,,,,,,,,"20,0","1,6",,,,,,
01.02.2018 15:00,"14,0","761,8","762,1","-1,6",55,Wind blowing from the north,8,,,60%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","4,9",No precipitation,3,,,,
01.02.2018 12:00,"13,5","763,4","763,8","-0,3",57,Wind blowing from the north,9,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","5,2",No precipitation,3,,,,
01.02.2018 09:00,"12,5","763,7","764,0",,76,Wind blowing from the north,7,,,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","8,3",,,,,,
31.01.2018 15:00,"18,0","765,1","765,4","-2,5",47,Wind blowing from the north-east,4,,,no clouds,,,,,,,,,,,"20,0","6,6",No precipitation,3,,,,
31.01.2018 12:00,"14,1","767,6","767,9","0,1",60,Wind blowing from the east-northeast,4,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","6,3",No precipitation,3,,,,
31.01.2018 09:00,"11,6","767,5","767,8",,57,Wind blowing from the north-northeast,4,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","3,4",,,,,,
30.01.2018 15:00,"17,3","767,3","767,6","-2,3",47,Wind blowing from the north-east,6,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,7",No precipitation,3,,,,
30.01.2018 12:00,"14,3","769,6","769,9","-0,3",59,Wind blowing from the north-east,6,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,4",No precipitation,3,,,,
30.01.2018 09:00,"11,4","769,9","770,2",,64,Wind blowing from the north-northeast,5,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","4,8",,,,,,
29.01.2018 15:00,"18,6","769,8","770,2","-2,5",48,Wind blowing from the north-east,6,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,4",No precipitation,3,,,,
29.01.2018 12:00,"16,4","772,3","772,7","-0,6",58,Wind blowing from the north-east,5,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,1",No precipitation,3,,,,
29.01.2018 09:00,"11,4","772,9","773,3",,71,Wind blowing from the north-northeast,6,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,2",,,,,,
26.01.2018 15:00,"12,9","772,8","773,1","-1,0",60,Wind blowing from the north,9,,,"90 or more, but not 100%",Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","5,3",Trace of precipitation,3,,,,
26.01.2018 12:00,"12,9","773,8","774,1","1,5",61,Wind blowing from the north,7,,,60%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","5,5",No precipitation,3,,,,
26.01.2018 09:00,"10,5","772,3","772,7",,77,Wind blowing from the north,3,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","6,6",,,,,,
25.01.2018 15:00,"13,5","766,9","767,2","-0,6",69,Wind blowing from the north-northwest,6,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","7,8",No precipitation,3,,,,
25.01.2018 12:00,"14,6","767,5","767,8","0,6",71,Wind blowing from the north-west,6,,,50%.,Clouds generally dissolving or becoming less developed.,Shower(s).,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","14,0","9,3","0,2",3,,,,
25.01.2018 09:00,"11,6","766,9","767,2",,98,Wind blowing from the east-northeast,2,,,"90 or more, but not 100%","Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","11,3",,,,,,
24.01.2018 15:00,"7,5","769,7","770,1","-1,8",99,Wind blowing from the south-east,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","7,3",No precipitation,3,,,,
24.01.2018 12:00,"5,7","771,5","771,9","0,2",99,Wind blowing from the north,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,1","5,5",No precipitation,3,,,,
24.01.2018 09:00,"4,6","771,3","771,6",,99,Wind blowing from the north-east,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,1","4,4",,,,,,
23.01.2018 15:00,"17,0","770,8","771,2","-1,8",68,Wind blowing from the north-east,2,,,50%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","14,0","11,1",No precipitation,3,,,,
23.01.2018 12:00,"12,2","772,6","772,9","0,3",91,Wind blowing from the north-east,1,,,50%.,Mist.,Fog or ice fog or thick haze.,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",100-200,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","4,0","10,8",No precipitation,3,,,,
23.01.2018 09:00,"7,6","772,3","772,6",,97,"Calm, no wind",0,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,1","7,2",,,,,,
22.01.2018 15:00,"15,8","771,9","772,2","-1,3",70,Wind blowing from the north,5,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","10,2",No precipitation,3,,,,
22.01.2018 12:00,"14,8","773,2","773,5","0,0",74,Wind blowing from the north-northwest,4,,,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","10,1",No precipitation,3,,,,
22.01.2018 09:00,"13,3","773,2","773,6",,80,Wind blowing from the north,4,,,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",600-1000,,,"15,0","9,9",,,,,,
19.01.2018 15:00,"18,8","767,4","767,8","-0,7",55,Wind blowing from the north,5,,,no clouds,,,,,,,,,,,"20,0","9,5",No precipitation,3,,,,
19.01.2018 12:00,"16,4","768,1","768,4","1,0",67,Wind blowing from the north,7,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","10,2",No precipitation,3,,,,
19.01.2018 09:00,"12,8","767,1","767,5",,81,Wind blowing from the north-northeast,3,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","12,0","9,6",,,,,,
18.01.2018 15:00,"17,7","765,9","766,2","-1,9",45,Wind blowing from the north-northeast,4,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","5,7",No precipitation,3,,,,
18.01.2018 12:00,"15,3","767,8","768,1","0,0",55,Wind blowing from the north-east,5,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","6,3",No precipitation,3,,,,
18.01.2018 09:00,"9,1","767,8","768,1",,82,Wind blowing from the north-east,3,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,2",,,,,,
17.01.2018 15:00,"16,2","769,0","769,3","-1,9",62,Wind blowing from the north,5,,,no clouds,,,,,,,,,,,"20,0","8,9",No precipitation,3,,,,
17.01.2018 12:00,"15,9","770,9","771,2","-0,1",63,Wind blowing from the north-northeast,5,,,"10% or less, but not 0",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","8,8",No precipitation,3,,,,
17.01.2018 09:00,"13,5","771,0","771,4",,81,Wind blowing from the north-northeast,5,,,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","10,3",,,,,,
16.01.2018 15:00,"15,9","772,2","772,5","-1,5",82,Wind blowing from the west-northwest,3,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"15,0","12,8",No precipitation,3,,,,
16.01.2018 12:00,"14,0","773,7","774,1","0,2",87,Wind blowing from the south,3,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,8",No precipitation,3,,,,
16.01.2018 09:00,"10,3","773,5","773,9",,95,Wind blowing from the south-southeast,1,,,"90 or more, but not 100%",Mist.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"8,0","9,6",,,,,,
15.01.2018 15:00,"13,7","771,4","771,7","-0,5",62,Wind blowing from the south-east,2,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,5",No precipitation,3,,,,
15.01.2018 12:00,"9,2","771,9","772,3","0,6",78,Wind blowing from the north-east,2,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","5,6",No precipitation,3,,,,
15.01.2018 09:00,"5,1","771,3","771,7",,94,Wind blowing from the east,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus castellanus or floccus.,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","20,0","4,2",,,,,,
12.01.2018 15:00,"11,0","768,4","768,7","-2,1",80,Wind blowing from the east-northeast,1,,,"90 or more, but not 100%",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,1000-1500,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,6",No precipitation,3,,,,
12.01.2018 12:00,"6,6","770,5","770,8","0,3",97,Wind blowing from the north-east,2,,,60%.,Fog or ice fog.,Fog or ice fog or thick haze.,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",60%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2,5","6,2",No precipitation,3,,,,
12.01.2018 09:00,"5,6","770,2","770,6",,97,Wind blowing from the east-northeast,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,5","5,2",,,,,,
11.01.2018 15:00,"15,0","770,5","770,9","-1,2",64,Wind blowing from the north-northwest,4,,,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","8,1",No precipitation,3,,,,
11.01.2018 12:00,"14,3","771,7","772,0","0,5",77,Wind blowing from the north-west,4,,,50%.,Shower(s) of rain.,Shower(s).,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","10,3","0,6",3,,,,
11.01.2018 09:00,"9,1","771,2","771,6",,93,Wind blowing from the west-southwest,3,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","8,0",,,,,,
10.01.2018 15:00,"15,3","766,7","767,1","0,6",71,Wind blowing from the north-west,6,,,60%.,Clouds generally forming or developing.,Rain.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","10,1",2,3,,,,
10.01.2018 12:00,"17,3","766,1","766,4","0,2",70,Wind blowing from the west,7,,,60%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","14,0","11,8",No precipitation,3,,,,
